Region,C09-Work Indicator,C10-Job Indicator,"C11 - Location of Work (Province, Municipality)",C13-Major Occupation Group,C15-Major Industry Group,C16-Nature of Employment (Primary Occupation),C21-Class of Worker (Primary Occupation)
1,1,91,43,1,8,48,48
1,1,52,47,1,9,63,63
1,1,75,13,1,9,27,51
1,1,91,96,2,4,28,28
1,1,83,47,1,8,48,48
1,1,93,13,2,7,49,49
1,1,52,47,1,12,84,84
1,1,92,1,2,8,24,24
1,1,52,47,1,8,48,48
1,1,52,47,1,8,48,48
1,1,93,13,2,8,32,32
1,1,92,1,2,8,24,24
1,1,75,13,2,4,24,24
1,1,93,16,2,8,32,32
1,1,71,41,1,8,48,48
1,1,52,56,2,8,56,56
1,1,51,56,1,8,8,8
1,1,52,56,2,2,4,4
1,1,71,31,1,8,48,48
1,1,93,31,1,8,48,48
1,1,52,47,1,12,72,72
1,1,93,47,1,5,25,25
1,1,93,31,1,8,24,24
1,1,93,31,1,8,24,24
1,1,93,31,1,8,24,24
1,1,52,47,1,8,48,48
1,1,93,11,1,8,24,24
1,1,93,31,1,8,48,48
1,1,93,31,1,8,48,48
1,1,93,11,1,12,72,72
1,1,44,84,2,8,40,40
1,1,54,84,1,8,8,24
1,1,91,96,3,4,12,12
1,1,96,31,1,8,8,8
1,2,42,47,1,6,42,66
1,1,95,47,1,10,40,40
1,1,61,1,1,1,7,35
1,3,52,47,1,8,56,56
1,1,63,1,2,4,20,20
1,1,71,31,1,8,24,24
1,3,75,14,1,1,1,1
1,1,93,46,2,8,8,8
1,1,92,1,2,10,50,50
1,1,23,85,1,8,40,40
1,1,31,31,1,10,60,60
1,1,13,31,1,6,42,42
1,1,52,47,1,6,12,12
1,1,61,1,1,3,21,21
1,1,54,84,1,8,8,8
1,1,33,61,1,8,48,48
1,1,71,41,1,8,48,48
1,1,32,84,1,8,40,40
1,1,74,43,2,8,40,40
1,1,93,41,1,8,48,48
1,1,95,47,1,8,56,56
1,1,61,1,1,4,28,28
1,1,61,1,1,4,28,28
1,1,41,84,1,8,40,40
1,1,61,1,1,1,7,7
1,1,83,46,1,12,84,84
1,1,91,96,1,8,8,8
1,1,52,45,1,8,48,48
1,1,96,93,1,4,16,16
1,1,96,77,2,8,8,8
1,3,75,14,1,8,48,48
1,1,75,14,1,8,48,48
1,1,54,84,1,8,56,56
1,1,41,84,1,8,40,40
1,1,52,47,1,8,48,48
1,1,51,56,1,8,56,56
1,1,94,56,1,8,56,56
1,1,93,46,1,12,84,84
1,1,52,47,1,8,24,24
2,1,93,41,3,8,16,25
2,1,96,84,2,8,40,40
2,1,96,84,2,8,40,40
2,1,96,84,2,8,40,49
2,1,41,84,1,8,40,40
2,1,23,85,1,8,40,40
2,1,42,55,2,8,56,56
2,1,61,1,1,8,48,48
2,1,61,1,1,8,40,40
2,1,96,84,2,8,40,48
2,1,93,41,1,8,48,51
2,1,61,1,2,6,28,28
2,1,14,56,1,9,54,54
2,1,83,49,2,8,42,42
